acc_timestamp_usec,acc_x,acc_y,acc_z,gyro_timestamp_usec,gyro_x,gyro_y,gyro_z
2866266,0.0816996,-0.0333943,-9.79062,2866266,0.000139683,0.00841369,0.00367366
2866877,0.0674747,-0.00962953,-9.78102,2866877,-0.00345215,0.0120638,0.00913263
2867477,0.0391191,-0.0143659,-9.77611,2867477,-0.00108299,0.0120624,0.00244462
2868088,0.0533309,-0.00487641,-9.7857,2868088,0.000802619,0.00598276,0.0103867
2868700,0.109948,-0.00489259,-9.77647,2868700,-0.00103714,0.00841462,0.00793247
2869311,0.0911156,-0.0238938,-9.78591,2869311,0.000186455,0.00963162,0.00916282
2869911,0.0343572,-0.0381109,-9.76658,2869911,-0.00102645,0.0102396,0.0091527
2870522,0.0152835,-0.0665824,-9.72842,2870522,-0.00102174,0.0078069,0.00976192
2871133,0.0390567,-0.0428603,-9.76185,2871133,-0.0040544,0.00719811,0.00973604
2871733,0.0720836,0.0283859,-9.76197,2871733,0.000165312,0.00719808,0.00672268
2872344,0.0721119,0.0188815,-9.76674,2872344,0.00200564,0.00780731,0.00917776
2872955,0.0298599,0.0141168,-9.81413,2872955,0.000155427,0.00963062,0.0055036
2873555,0.020259,0.0378921,-9.7855,2873555,0.00200081,0.00963179,0.00856839
2874166,0.0342328,0.02841,-9.7475,2874166,-0.000472112,0.00780519,0.00305848
2874777,0.0439338,-0.000128251,-9.79517,2874777,0.00140925,0.00659109,0.010392
2875377,0.0582041,-0.014398,-9.81429,2875377,-0.00166456,0.00719741,0.00548751
2875988,0.0675747,-0.0143925,-9.80006,2875988,0.0013781,0.00598188,0.00673263
2876600,0.0628865,-0.0381468,-9.80481,2876600,0.000129113,0.00719692,0.00245358
2877211,0.0723327,-0.0429011,-9.80486,2877211,-0.000405114,0.00659091,0.0109865
2877811,0.110051,-0.0191568,-9.79552,2877811,0.00013957,0.00780547,0.00367349
2878422,0.100405,-0.00487652,-9.75738,2878422,0.00202667,0.00963262,0.0116177
2879033,0.0863142,-0.0096308,-9.77159,2879033,0.00131156,0.00962902,-0.0011947
2879633,0.0393475,-0.0333961,-9.81897,2879633,-0.00223476,0.00780667,0.00975163
2880244,0.0203891,-0.0428806,-9.80459,2880244,-0.0004304,0.00963117,0.00793794
2880855,0.0392683,-0.019135,-9.80468,2880855,-0.00169547,0.00780463,0.00182845
2881455,0.0110677,0.0188625,-9.83307,2881455,-0.00225498,0.0102389,0.00731281
2882066,0.0249585,0.0331427,-9.78077,2882066,-0.00286712,0.00780573,0.00669713
2882677,0.0294936,0.00941251,-9.74273,2882677,0.00441019,0.00354958,0.00675769
2883277,0.0437582,0.00939458,-9.76184,2883277,-0.00105839,0.00537287,0.00549216
2883888,0.0816374,-0.000133889,-9.78108,2883888,-0.00163905,0.00537359,0.00853637
2884500,0.0485426,-0.0238677,-9.77141,2884500,-0.00287218,0.00841378,0.00608742
2885100,0.0106144,-0.0143331,-9.74265,2885100,0.000190824,0.00537426,0.00977154
2885711,0.0436393,-9.12156e-05,-9.73805,2885711,-0.00106816,0.00841363,0.00427324
2886322,0.0484785,0.0141433,-9.76186,2886322,0.00077251,0.0108475,0.00672881
2886922,0.0532308,-0.000113456,-9.76666,2886922,-0.00106253,0.0108467,0.00488378
2887533,0.0580039,-0.0048721,-9.7762,2887533,-0.00221361,0.0102402,0.0121918
2888144,0.067571,-0.00489126,-9.80005,2888144,0.00195875,0.00598116,0.00368842
2888744,0.0627883,-0.0381344,-9.78577,2888744,0.00140902,0.00537466,0.0103917
2889355,0.0674614,-0.0381301,-9.77627,2889355,0.00136271,0.0065896,0.00490319
2889966,0.0722478,-0.0143882,-9.79056,2889966,-0.00104265,0.00658981,0.0073221
2890577,0.0202778,-0.00961399,-9.78553,2890577,-0.000508081,0.00902046,-0.00121029
2891177,0.039157,0.0141316,-9.78561,2891177,-0.00102634,0.0108478,0.00915287
2891788,0.0580474,0.00937356,-9.78572,2891788,0.000144627,0.00719742,0.0042832
2892388,0.048469,-0.0238585,-9.75713,2892388,0.000781821,0.00537388,0.00794707
2893000,0.0674179,-0.0523758,-9.76676,2893000,0.000745852,0.00658915,0.0036783
2893611,0.0439979,-0.0381393,-9.80471,2893611,-0.00100634,0.00719918,0.0115914
2894211,0.0440149,-0.01914,-9.80946,2894211,0.0019845,0.00537377,0.00673761
2894822,0.0581286,-0.00963815,-9.80001,2894822,-0.00225556,0.00719779,0.00731198
2895433,0.043881,0.00937915,-9.78564,2895433,0.000154855,0.00658954,0.00550277
2896044,0.0673407,0.0188896,-9.7572,2896044,-0.000442,0.00294045,0.00671638
2896644,0.0720308,0.0378933,-9.75245,2896644,0.000128312,0.0029394,0.00245243
2897255,0.0531761,0.0141446,-9.75713,2897255,-0.000441199,0.00719797,0.00671753
2897866,0.0768717,-0.0143777,-9.77155,2897866,-0.00104759,0.00780607,0.00671256
2898466,0.0865162,-0.0239073,-9.80968,2898466,0.00197944,0.00598183,0.00612791
2899077,0.0487956,-0.0429011,-9.81902,2899077,-0.00100634,0.00719918,0.0115914
2899688,0.0250677,-0.0571281,-9.79511,2899688,-0.00106311,0.00780557,0.00488295
2900288,0.0298485,-0.0191344,-9.80939,2900288,-0.00282541,0.00963171,0.0115766
2900888,0.0393723,0.0283557,-9.82845,2900888,0.000171056,0.0102393,0.00733338
2901500,0.0533744,0.00936925,-9.79521,2901500,-0.00161227,0.0102402,0.011587
2902111,0.0626976,-0.0571245,-9.76674,2902111,-0.00106816,0.00841363,0.00427324
2902711,0.0438808,-0.0523757,-9.78092,2902711,-0.00104231,0.00841445,0.0073226
2903322,0.0439357,-0.00487886,-9.79517,2903322,-0.00103737,0.00719819,0.00793214
2903933,0.0580266,-0.000124577,-9.78096,2903933,0.0013943,0.00963168,0.00856324
2904533,0.076868,-0.00487647,-9.77154,2904533,-0.00169536,0.00841285,0.00182861
2905144,0.0814447,-0.00961042,-9.74301,2905144,-0.00103691,0.00963106,0.0079328
2905755,0.0674218,-0.00012213,-9.77149,2905755,-0.00106322,0.00719736,0.00488278
2906355,0.0630754,-0.019169,-9.84288,2906355,0.000786763,0.00415761,0.00855661
2906966,0.039506,-0.0619183,-9.84755,2906966,-0.00106839,0.00719719,0.00427291
2907577,0.0300353,-0.0571609,-9.84273,2907577,0.00322383,0.0078077,0.00979792
2908177,0.0535895,-0.0381616,-9.83332,2908177,-0.0016641,0.00963028,0.00548817
2908788,0.0580888,-0.033385,-9.7905,2908788,-0.00162825,0.00780679,0.00975678
2909400,0.0437789,-0.0428622,-9.76188,2909400,-0.000441313,0.00658975,0.00671737
2910000,0.029586,-0.0381029,-9.75704,2910000,-0.000435684,0.00902279,0.0073279
2910611,0.0627752,-0.00488014,-9.78575,2910611,0.00199541,0.00841519,0.00795818
2911222,0.100579,-0.00964873,-9.79071,2911222,0.00139385,0.00719881,0.00856258
2911822,0.0816014,-0.033382,-9.77158,2911822,0.00144544,0.00659225,0.0146611
2912433,0.0342799,-0.0286004,-9.7523,2912433,0.00015991,0.00598148,0.00611248
2913044,0.0343006,-0.0191023,-9.75705,2913044,-0.00162756,0.0114561,0.00975777
2913655,0.0485388,-0.0143665,-9.7714,2913655,-0.00224418,0.0126721,0.00853321
2914255,0.0485709,-0.0333721,-9.77617,2914255,0.000155427,0.00963062,0.0055036
2914866,0.039121,-0.0191165,-9.77612,2914866,0.000134399,0.0078053,0.00306362
2915477,0.0439111,-0.00487578,-9.79041,2915477,0.00140959,0.00841574,0.0103925
2916077,0.0629017,-0.0143968,-9.80956,2916077,-0.0017065,0.004155,0.000607716
2916688,0.0863312,0.00936856,-9.77634,2916688,-0.00159273,0.00415864,0.0140249
2917300,0.0863237,0.028371,-9.77633,2917300,-0.00289861,0.00537187,0.00303724
2917900,0.0437223,-0.0238535,-9.75234,2917900,0.00077665,0.00537371,0.0073372
2918511,0.0201284,-0.0665997,-9.75225,2918511,-0.000482341,0.00841308,0.0018389
2919122,0.015582,-0.0143658,-9.79027,2919122,-0.00101116,0.00902367,0.010982
2919722,0.0676126,0.014105,-9.80956,2919722,-0.000493141,0.00597988,0.000618497
2920333,0.0863859,-0.00488945,-9.78587,2920333,-0.000405343,0.00537448,0.0109861
2920944,0.05311,-0.00484864,-9.74286,2920944,-0.00169053,0.00658836,0.00243799
2921544,0.0200776,-8.80752e-05,-9.74745,2921544,-0.00103748,0.00658997,0.00793197
2922155,0.0295577,-0.0285986,-9.75227,2922155,0.000699082,0.00537123,-0.00181087
2922766,0.00617163,-0.0381183,-9.795,2922766,-0.00161756,0.00963177,0.010977
2923366,-0.0314959,-0.0048645,-9.81858,2923366,0.000787793,0.00963156,0.0085581
2923977,0.0487352,-0.0143912,-9.80948,2923977,0.000803307,0.00963206,0.0103877
2924588,0.11004,-0.052408,-9.79078,2924588,-0.00224993,0.00963083,0.00792251
2925188,0.105257,-0.0238963,-9.78122,2925188,-0.00103254,0.0053737,0.00854152
2925800,0.110172,-0.0144216,-9.81932,2925800,-0.00104828,0.00415677,0.00671157
2926411,0.105356,-0.0239086,-9.80026,2926411,-0.00227118,0.00658908,0.0054822
2927011,0.0580285,-0.00487519,-9.78096,2927011,0.00017014,0.0053736,0.00733205
2927622,0.0344479,-0.0191208,-9.78561,2927622,-0.00106793,0.00963006,0.00427357
2928233,0.0534574,-0.0143931,-9.80951,2928233,0.000761708,0.0084143,0.00550841
2928844,0.0394307,0.00459645,-9.83798,2928844,0.000766421,0.0059816,0.00611762
2929444,0.0769907,-0.0048919,-9.79534,2929444,-0.00163848,0.00841467,0.0085372
2930055,0.0910873,-0.0143894,-9.78114,2930055,0.000751024,0.00658932,0.00428818
2930666,0.0488145,-0.0286523,-9.82377,2930666,-0.00100105,0.00780756,0.0122014
2931266,0.0487126,-0.0191387,-9.80473,2931266,0.00258101,0.00719821,0.00552351
2931877,0.0296748,-0.0143622,-9.77606,2931877,-0.00102185,0.00719869,0.00976175
2932488,0.0155159,-0.033359,-9.776,2932488,-0.00351546,0.00537142,0.00181236
2933088,0.0485199,-0.0286153,-9.76665,2933088,-0.00103185,0.009023,0.00854251
2933700,0.0532346,-0.00961468,-9.76666,2933700,0.000741139,0.00902185,0.00306909
2934311,0.0532498,0.0141353,-9.77141,2934311,-0.00164433,0.00476521,0.00792634
2934911,0.0816203,-0.0191332,-9.77633,2934911,-0.00229164,0.00780485,0.00304305
2935522,0.0959869,-0.0286648,-9.8145,2935522,-0.0046446,0.011456,0.0115617
2936133,0.105478,-0.023924,-9.82406,2936133,0.000129458,0.00902157,0.00245408
2936733,0.0722478,-0.0143882,-9.79056,2936733,0.000740452,0.00537255,0.0030681
2937344,0.0247923,0.0189125,-9.74746,2937344,0.00134133,0.00293963,0.00246271
2937955,0.0531308,0.0046495,-9.74761,2937955,0.000180481,0.00537393,0.0085518
2938555,0.0769454,-0.014387,-9.78583,2938555,0.000160368,0.00841435,0.00611314
2939166,0.0626298,-0.00961223,-9.75719,2939166,0.00197461,0.00780631,0.00551854
2939777,0.0625335,-0.0143505,-9.73815,2939777,0.000170482,0.00719825,0.00733255
2940377,0.0392098,0.00462423,-9.79514,2940377,0.00133696,0.00719699,0.001854
2940988,0.034533,0.0141211,-9.80463,2940988,-0.00103174,0.00963122,0.00854267
2941600,0.0296729,-0.00961154,-9.77606,2941600,-0.00287207,0.009022,0.00608759
2942211,0.0203268,-0.00962016,-9.79505,2942211,-0.00105311,0.00598126,0.00610219
2942811,0.0440149,-0.01914,-9.80946,2942811,0.000144513,0.0065892,0.00428303
2943422,0.0769963,-0.0191437,-9.79535,2943422,-0.00100634,0.00719918,0.0115914
2944033,0.0581304,-0.0143888,-9.80001,2944033,-0.00229681,0.00780468,0.00243318
2944633,0.0297012,-0.0191159,-9.78083,2944633,0.000175424,0.00598198,0.00794209
2945244,0.0672612,-0.0286042,-9.73819,2945244,-0.00227118,0.00658908,0.0054822
2945855,0.081507,-0.0428709,-9.75255,2945855,-0.00223993,0.00780651,0.00914176
2946455,0.0532439,-0.0333677,-9.76668,2946455,-0.00283553,0.0108478,0.0103572
2947066,0.0437185,-0.0143523,-9.75234,2947066,-0.00281541,0.00780739,0.0127958
2947677,0.0344271,-0.0286189,-9.78086,2947677,-0.00168536,0.00658853,0.00304786
2948277,0.0344554,-0.0381233,-9.78562,2948277,-0.00225521,0.00902244,0.00731247
2948888,0.0579736,-0.052372,-9.76671,2948888,0.00013417,0.00658887,0.00306329
2949500,0.0486558,-0.061885,-9.79047,2949500,-0.00161262,0.0084155,0.0115865
2950100,0.048652,-0.0523838,-9.79047,2950100,-0.00103185,0.009023,0.00854251
2950711,0.0722289,-0.0286369,-9.78581,2950711,-0.00344284,0.00659018,0.0103509
2951322,0.0627771,-0.00963075,-9.78575,2951322,-0.000410516,0.00537431,0.0103763
2951933,0.0486181,-0.0286276,-9.78569,2951933,0.00016474,0.004157,0.00672185
2952533,0.0769982,-0.0238943,-9.79535,2952533,-0.000415344,0.0071988,0.00976689
2953144,0.0769641,-0.0618931,-9.78586,2953144,-0.0022559,0.00537314,0.00731148
2953744,0.0864858,-0.0714073,-9.80019,2953744,-0.00164479,0.00233233,0.00792567
2954355,0.100598,0.00460001,-9.79546,2954355,-0.000452343,0.00294012,0.00549664
2954966,0.100413,0.0378759,-9.76211,2954966,0.000185767,0.00598231,0.00916183
2955566,0.105229,-0.014392,-9.77645,2955566,0.00076665,0.00719803,0.00611795
2956177,0.0674048,-0.0191215,-9.76674,2956177,-0.00224487,0.00902277,0.00853222
2956788,0.0625204,0.0189038,-9.73813,2956788,0.000751482,0.00902219,0.00428884
2957388,0.100522,0.00935989,-9.78117,2957388,-0.00223993,0.00780651,0.00914176
2958000,0.0958623,-0.0238987,-9.79069,2958000,-0.000430513,0.00902295,0.00793778
2958611,0.0483934,-0.0190986,-9.74284,2958611,-0.00404889,0.00902293,0.0103464
2959222,0.0342233,-0.0095918,-9.74276,2959222,-0.00106299,0.00841379,0.00488311
2959822,0.0721269,-0.0191234,-9.76677,2959822,-0.00163262,0.0120641,0.00914806
2960433,0.0862784,0.018876,-9.76681,2960433,0.00079331,0.0114564,0.00916846
2961044,0.0629019,0.0473581,-9.81427,2961044,0.000771822,0.0071982,0.00672782
2961644,0.0345783,0.0236162,-9.81414,2961644,-0.000472685,0.00476411,0.00305765
2962255,0.0437374,-0.000103559,-9.75709,2962255,0.00196404,0.00658955,0.00429846
2962866,0.067318,0.0141421,-9.75244,2962866,0.00134753,0.00841375,0.00307407
2963466,0.0484577,0.00464519,-9.75711,2963466,-0.000446143,0.00841424,0.006108
2964077,0.0673879,0.023634,-9.76671,2964077,-0.00285644,0.00963071,0.00791737
2964688,0.0815752,0.0331266,-9.77154,2964688,-0.00105288,0.00719769,0.00610252
2965300,0.0531761,0.0141446,-9.75713,2965300,0.000128541,0.00415584,0.00245276
2965900,0.0485276,0.0141372,-9.77138,2965900,0.00139453,0.0108481,0.00856357
2966511,0.0439829,-0.000134423,-9.80469,2966511,-0.000451427,0.00780585,0.00549796
2967100,0.0579906,-0.0333727,-9.77146,2967100,-0.0022505,0.00658974,0.00792169
2967711,0.0719795,-0.0808597,-9.73349,2967711,-0.00226601,0.00658925,0.00609207
2968322,0.0814162,-0.061861,-9.73352,2968322,0.00076125,0.00598143,0.00550775
2968922,0.0532306,-0.0618683,-9.76194,2968922,0.000165427,0.0078063,0.00672284
2969533,0.0249431,-0.0523621,-9.7713,2969533,-0.000414886,0.00963167,0.00976756
